[2019-11-14 11:50:42.867] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\InvalidCardConf.class]
[2019-11-14 11:50:42.867] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\RestTemplateConfig.class]
[2019-11-14 11:50:42.867] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\StaticResourceConfig.class]
[2019-11-14 11:50:42.868] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\WebInterceptor.class]
[2019-11-14 11:50:42.868] [restartedMain] [DEBUG] | [o.s.c.a.ClassPathBeanDefinitionScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\config\WebInterceptorConf.class]
[2019-11-14 11:50:43.030] [restartedMain] [DEBUG] | [o.s.c.e.PropertySourcesPropertyResolver:115] | Found key 'spring.template.provider.cache' in PropertySource 'configurationProperties' with value of type String
[2019-11-14 11:50:43.069] [restartedMain] [DEBUG] | [o.s.c.e.PropertySourcesPropertyResolver:115] | Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
[2019-11-14 11:50:43.087] [restartedMain] [DEBUG] | [o.s.c.e.PropertySourcesPropertyResolver:115] | Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
[2019-11-14 11:50:43.088] [restartedMain] [DEBUG] | [o.s.c.e.PropertySourcesPropertyResolver:115] | Found key 'spring.application.admin.enabled' in PropertySource 'configurationProperties' with value of type String
[2019-11-14 11:50:43.178] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
[2019-11-14 11:50:43.226] [restartedMain] [DEBUG] | [o.s.c.e.PropertySourcesPropertyResolver:115] | Found key 'spring.template.provider.cache' in PropertySource 'configurationProperties' with value of type String
[2019-11-14 11:50:43.246] [restartedMain] [DEBUG] | [o.s.c.e.PropertySourcesPropertyResolver:115] | Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
[2019-11-14 11:50:43.249] [restartedMain] [DEBUG] | [o.s.c.e.PropertySourcesPropertyResolver:115] | Found key 'spring.application.admin.enabled' in PropertySource 'configurationProperties' with value of type String
[2019-11-14 11:50:43.273] [restartedMain] [INFO] | [o.s.d.r.c.RepositoryConfigurationDelegate:126] | Bootstrapping Spring Data repositories in DEFAULT mode.
[2019-11-14 11:50:43.278] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
[2019-11-14 11:50:43.282] [restartedMain] [DEBUG] | [o.s.b.a.AutoConfigurationPackages:199] | @EnableAutoConfiguration was declared on a class in the package 'com.wanding.config,com.wanding'. Automatic @Repository and @Entity scanning is enabled.
[2019-11-14 11:50:43.283] [restartedMain] [DEBUG] | [o.s.d.r.c.RepositoryConfigurationDelegate:138] | Scanning for repositories in packages com.wanding.config, com.wanding.
[2019-11-14 11:50:43.296] [restartedMain] [INFO] | [o.s.d.r.c.RepositoryConfigurationDelegate:182] | Finished Spring Data repository scanning in 12ms. Found 0 repository interfaces.
[2019-11-14 11:50:43.352] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'com.wanding.AppStarter#MapperScannerRegistrar#0'
[2019-11-14 11:50:43.356] [restartedMain] [DEBUG] | [o.s.b.f.s.DefaultListableBeanFactory:213] | Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
[2019-11-14 11:50:43.362] [restartedMain] [DEBUG] | [org.apache.ibatis.logging.LogFactory:105] | Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
[2019-11-14 11:50:43.364] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\dao\CardUseRecordInfoMapper.class]
[2019-11-14 11:50:43.364] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\dao\OrdersMapper.class]
[2019-11-14 11:50:43.364] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\dao\RoleMapper.class]
[2019-11-14 11:50:43.364] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\dao\SSFStudentIdCardMapper.class]
[2019-11-14 11:50:43.364] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\dao\UserCardInfoMapper.class]
[2019-11-14 11:50:43.364] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\dao\UserInfoCheckMapper.class]
[2019-11-14 11:50:43.365] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:437] | Identified candidate component class: file [E:\code\xianwall\target\classes\com\wanding\dao\UserInfoMapper.class]
[2019-11-14 11:50:43.365] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Creating MapperFactoryBean with name 'cardUseRecordInfoMapper' and 'com.wanding.dao.CardUseRecordInfoMapper' mapperInterface
[2019-11-14 11:50:43.365] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Enabling autowire by type for MapperFactoryBean with name 'cardUseRecordInfoMapper'.
[2019-11-14 11:50:43.365] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Creating MapperFactoryBean with name 'ordersMapper' and 'com.wanding.dao.OrdersMapper' mapperInterface
[2019-11-14 11:50:43.366] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Enabling autowire by type for MapperFactoryBean with name 'ordersMapper'.
[2019-11-14 11:50:43.366] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Creating MapperFactoryBean with name 'roleMapper' and 'com.wanding.dao.RoleMapper' mapperInterface
[2019-11-14 11:50:43.366] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Enabling autowire by type for MapperFactoryBean with name 'roleMapper'.
[2019-11-14 11:50:43.366] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Creating MapperFactoryBean with name 'SSFStudentIdCardMapper' and 'com.wanding.dao.SSFStudentIdCardMapper' mapperInterface
[2019-11-14 11:50:43.366] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Enabling autowire by type for MapperFactoryBean with name 'SSFStudentIdCardMapper'.
[2019-11-14 11:50:43.366] [restartedMain] [DEBUG] | [o.m.s.mapper.ClassPathMapperScanner:49] | Creating MapperFactoryBean with name 'userCardInfoMapper' and 'com.wanding.dao.UserCardInfoMapper' mapperInterface
